scan,scenario,label,buses,R_per_min,reserve_frac,mode,feasible,max_deficit_MW,energy_deficit_MWh,max_overload_MW,final_deficit_MW,saet_min,solve_s
DP_over_R,S1_single_bus89,Single bus89,89,0.0025,1.0,DP,True,0.0,0.0,77.0,0.0,92.4,94.9
DP_over_R,S1_single_bus89,Single bus89,89,0.003,1.0,DP,True,0.0,0.0,61.2,0.0,92.4,60.2
DP_over_R,S1_single_bus89,Single bus89,89,0.0035,1.0,DP,True,0.0,0.0,45.67,0.0,92.4,64.6
DP_over_R,S1_single_bus89,Single bus89,89,0.005,1.0,DP,True,0.0,0.0,16.52,0.0,92.4,9.9
DP_over_R,S1_single_bus89,Single bus89,89,0.0075,1.0,DP,True,0.0,0.0,8.77,0.0,92.4,4.8
DP_over_R,S1_single_bus89,Single bus89,89,0.01,1.0,DP,True,0.0,0.0,0.0,0.0,92.4,3.6
DP_over_R,S1_single_bus89,Single bus89,89,0.015,1.0,DP,True,0.0,0.0,0.0,0.0,92.4,2.7
DP_over_R,S1_single_bus89,Single bus89,89,0.02,1.0,DP,True,0.0,0.0,0.0,0.0,92.4,2.5
DP_over_R,S1_single_bus89,Single bus89,89,0.04,1.0,DP,True,0.0,0.0,0.0,0.0,92.4,2.0
DP_over_R,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.0025,1.0,DP,True,3.86,0.45,144.25,0.0,92.4;121.8;130.0;151.5;151.9;192.9,61.5
DP_over_R,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.003,1.0,DP,True,0.0,0.0,139.15,0.0,92.4;121.8;130.0;151.5;151.9;192.9,75.1
DP_over_R,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.0035,1.0,DP,True,0.0,0.0,118.58,0.0,92.4;121.8;130.0;151.5;151.9;192.9,46.6
DP_over_R,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.005,1.0,DP,True,0.0,0.0,66.62,0.0,92.4;121.8;130.0;151.5;151.9;192.9,80.5
DP_over_R,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.0075,1.0,DP,True,0.0,0.0,36.76,0.0,92.4;121.8;130.0;151.5;151.9;192.9,48.5
DP_over_R,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.01,1.0,DP,True,0.0,0.0,36.76,0.0,92.4;121.8;130.0;151.5;151.9;192.9,70.1
DP_over_R,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.015,1.0,DP,True,0.0,0.0,36.76,0.0,92.4;121.8;130.0;151.5;151.9;192.9,32.9
DP_over_R,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.02,1.0,DP,True,0.0,0.0,36.76,0.0,92.4;121.8;130.0;151.5;151.9;192.9,27.0
DP_over_R,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.04,1.0,DP,True,0.0,0.0,36.76,0.0,92.4;121.8;130.0;151.5;151.9;192.9,13.9
DP_over_R,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.0025,1.0,DP,True,3.63,0.51,143.17,0.0,92.4;121.8;130.0,127.1
DP_over_R,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.003,1.0,DP,True,0.0,0.0,139.14,0.0,92.4;121.8;130.0,115.6
