t,H_tank,H_pool,m_cw,T_cw_in,T_return,p_b,k_p,Paff_MW,lost_MW,pump,gen
0.0,3.4562,2.7704,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
4.0,3.4561,2.77036,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
8.0,3.45601,2.77032,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
12.0,3.45592,2.77028,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
16.0,3.45583,2.77025,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
20.0,3.45574,2.77021,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
24.0,3.45565,2.77017,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
28.0,3.45556,2.77014,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
32.0,3.45547,2.7701,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
36.0,3.45539,2.77006,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
40.0,3.4553,2.77003,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
44.0,3.45521,2.76999,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
48.0,3.45512,2.76995,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
52.0,3.45504,2.76992,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
56.0,3.45495,2.76988,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
60.0,3.45486,2.76985,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
64.0,3.39653,2.76981,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
68.0,3.33829,2.76978,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
72.0,3.28015,2.76974,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
76.0,3.22212,2.7697,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
80.0,3.16418,2.76965,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
84.0,3.10633,2.76961,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
88.0,3.04859,2.76956,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
92.0,2.99094,2.76952,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
