t,H_tank,H_pool,m_cw,T_cw_in,T_return,p_b,k_p,f,Paff_MW,Prest_MW,Pmech_MW,Pload_MW,shed,pump,gen
0.0,3.42202,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
4.0,3.42202,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
8.0,3.42202,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
12.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
16.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
20.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
24.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
28.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
32.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
36.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
40.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
44.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
48.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
52.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
56.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
60.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
64.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
68.0,3.4218,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
72.0,3.42141,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
76.0,3.42084,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
80.0,3.42011,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
84.0,3.41924,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
88.0,3.41824,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
92.0,3.41712,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
96.0,3.41589,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
100.0,3.41456,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
104.0,3.41313,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
108.0,3.41161,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
112.0,3.41001,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
116.0,3.40834,2.78779,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
120.0,3.40659,2.78779,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
124.0,3.40477,2.78779,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
128.0,3.4029,2.78779,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
132.0,3.40096,2.78779,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
136.0,3.39896,2.78778,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
140.0,3.39691,2.78778,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
144.0,3.3948,2.78778,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
148.0,3.39265,2.78778,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
152.0,3.39045,2.78777,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
156.0,3.38819,2.78777,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
160.0,3.3859,2.78776,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
164.0,3.38355,2.78776,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
168.0,3.38117,2.78776,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
172.0,3.37873,2.78775,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
176.0,3.37626,2.78775,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
180.0,3.37374,2.78774,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
184.0,3.37118,2.78774,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
188.0,3.36858,2.78773,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
192.0,3.36594,2.78773,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
196.0,3.36326,2.78772,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
200.0,3.36053,2.78771,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
204.0,3.35776,2.78771,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
208.0,3.35495,2.7877,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
212.0,3.3521,2.78769,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
216.0,3.3492,2.78769,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
220.0,3.34626,2.78768,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
224.0,3.34328,2.78767,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
228.0,3.34026,2.78766,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
232.0,3.33718,2.78766,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
236.0,3.33407,2.78765,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
240.0,3.3309,2.78764,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
244.0,3.32769,2.78763,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
248.0,3.32443,2.78762,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
252.0,3.32113,2.78761,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
256.0,3.31777,2.7876,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
260.0,3.31436,2.78759,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
264.0,3.31091,2.78758,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
268.0,3.30739,2.78757,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
272.0,3.30383,2.78756,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
276.0,3.30021,2.78755,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
280.0,3.29653,2.78754,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
284.0,3.2928,2.78753,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
288.0,3.28901,2.78752,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
292.0,3.28516,2.78751,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
296.0,3.28125,2.78749,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
300.0,3.27727,2.78748,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
304.0,3.27323,2.78747,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
